NAZWA_GLIFU;NR_SFD;UTF_CODEPOINT;OPIS
a.orig;57550;U+e006;
e.orig;57570;U+e0e2;
o.orig;57590;U+e0f6;
u.orig;57620;U+e114
i.orig;57660;U+e13c
y.orig;57680;U+e150
a0;57700;U+e164;(aogonek)
e0;57710;U+e16e;(eogonek)

 
